place,Jurisdiction,Name,Value,year,Jurisdiction 2
70360,Silver Plume,ACS Population,162.0,2010,Silver Plume
75640,Superior,ACS Population,11852.0,2010,Superior
77290,Thornton,ACS Population,111732.0,2010,Thornton
82735,Ward,ACS Population,67.0,2010,Ward
83835,Westminster,ACS Population,104276.0,2010,Westminster
84440,Wheat Ridge,ACS Population,29756.0,2010,Wheat Ridge
8124,Weld County (DRCOG),ACS Population,54162.0,2010,Weld County (DRCOG)
8000,Region,ACS Population,2730000.0,2010,Region
3455,Arvada,DOLA Population,106650.0,2010,Arvada
4000,Aurora,DOLA Population,326555.0,2010,Aurora
6090,Bennett,DOLA Population,2317.0,2010,Bennett
7025,Black Hawk,DOLA Population,120.0,2010,Black Hawk
7850,Boulder City,DOLA Population,97928.0,2010,Boulder City
8001,Adams County,DOLA Population,443711.0,2010,Adams County
8005,Arapahoe County,DOLA Population,574819.0,2010,Arapahoe County
8013,Boulder County,DOLA Population,295605.0,2010,Boulder County
8014,Broomfield City/County,DOLA Population,56107.0,2010,Broomfield City/County
8019,Clear Creek County,DOLA Population,9155.0,2010,Clear Creek County
8031,Denver City/County,DOLA Population,604879.0,2010,Denver City/County
8035,Douglas County,DOLA Population,287124.0,2010,Douglas County
8047,Gilpin County,DOLA Population,5463.0,2010,Gilpin County
8059,Jefferson County,DOLA Population,535651.0,2010,Jefferson County
8070,Bow Mar,DOLA Population,868.0,2010,Bow Mar
8123,Weld County,DOLA Population,254230.0,2010,Weld County
8675,Brighton,DOLA Population,33511.0,2010,Brighton
12390,Castle Pines North,DOLA Population,10403.0,2010,Castle Pines North
12415,Castle Rock,DOLA Population,48666.0,2010,Castle Rock
12815,Centennial,DOLA Population,101398.0,2010,Centennial
12910,Central City,DOLA Population,668.0,2010,Central City
13845,Cherry Hills Village,DOLA Population,6013.0,2010,Cherry Hills Village
16385,Columbine Valley,DOLA Population,1261.0,2010,Columbine Valley
16495,Commerce City,DOLA Population,46194.0,2010,Commerce City
19080,Dacono,DOLA Population,4181.0,2010,Dacono
19630,Deer Trail,DOLA Population,548.0,2010,Deer Trail
23135,Edgewater,DOLA Population,5177.0,2010,Edgewater
23740,Elizabeth,DOLA Population,1358.0,2010,Elizabeth
24620,Empire,DOLA Population,283.0,2010,Empire
24785,Englewood,DOLA Population,30374.0,2010,Englewood
24950,Erie,DOLA Population,18291.0,2010,Erie
26270,Federal Heights,DOLA Population,11515.0,2010,Federal Heights
26600,Firestone,DOLA Population,10249.0,2010,Firestone
27700,Fort Lupton,DOLA Population,7454.0,2010,Fort Lupton
28105,Foxfield,DOLA Population,691.0,2010,Foxfield
28360,Frederick,DOLA Population,8735.0,2010,Frederick
29735,Georgetown,DOLA Population,1056.0,2010,Georgetown
30340,Glendale,DOLA Population,4200.0,2010,Glendale
30835,Golden,DOLA Population,18930.0,2010,Golden
33035,Greenwood Village,DOLA Population,13987.0,2010,Greenwood Village
37820,Hudson,DOLA Population,2370.0,2010,Hudson
38370,Idaho Springs,DOLA Population,1750.0,2010,Idaho Springs
39195,Jamestown,DOLA Population,274.0,2010,Jamestown
40185,Keenesburg,DOLA Population,1131.0,2010,Keenesburg
40790,Kiowa,DOLA Population,723.0,2010,Kiowa
41835,Lafayette,DOLA Population,24553.0,2010,Lafayette
42495,Lakeside,DOLA Population,8.0,2010,Lakeside
43000,Lakewood,DOLA Population,143209.0,2010,Lakewood
43550,Larkspur,DOLA Population,184.0,2010,Larkspur
45255,Littleton,DOLA Population,42034.0,2010,Littleton
45955,Lone Tree,DOLA Population,10417.0,2010,Lone Tree
45970,Longmont,DOLA Population,86442.0,2010,Longmont
46355,Louisville,DOLA Population,18412.0,2010,Louisville
47070,Lyons,DOLA Population,2038.0,2010,Lyons
49600,Mead,DOLA Population,3440.0,2010,Mead
52075,Morrison,DOLA Population,428.0,2010,Morrison
52350,Mountain View,DOLA Population,508.0,2010,Mountain View
53175,Nederland,DOLA Population,1447.0,2010,Nederland
54330,Northglenn,DOLA Population,35933.0,2010,Northglenn
57630,Parker,DOLA Population,45505.0,2010,Parker
60160,Platteville,DOLA Population,2499.0,2010,Platteville
69645,Sheridan,DOLA Population,5686.0,2010,Sheridan
70360,Silver Plume,DOLA Population,170.0,2010,Silver Plume
75640,Superior,DOLA Population,12501.0,2010,Superior
77290,Thornton,DOLA Population,119420.0,2010,Thornton
82735,Ward,DOLA Population,150.0,2010,Ward
83835,Westminster,DOLA Population,106452.0,2010,Westminster
84440,Wheat Ridge,DOLA Population,30207.0,2010,Wheat Ridge
8124,Weld County (DRCOG),DOLA Population,57913.0,2010,Weld County (DRCOG)
8000,Region,DOLA Population,2870427.0,2010,Region
3455,Arvada,Households,41960.0,2010,Arvada
4000,Aurora,Households,120665.0,2010,Aurora
6090,Bennett,Households,796.0,2010,Bennett
7025,Black Hawk,Households,74.0,2010,Black Hawk
7850,Boulder City,Households,40985.0,2010,Boulder City
8001,Adams County,Households,147951.0,2010,Adams County
8005,Arapahoe County,Households,218909.0,2010,Arapahoe County
8013,Boulder County,Households,117629.0,2010,Boulder County
8014,Broomfield City/County,Households,20116.0,2010,Broomfield City/County
8019,Clear Creek County,Households,4164.0,2010,Clear Creek County
8031,Denver City/County,Households,254181.0,2010,Denver City/County
8035,Douglas County,Households,98725.0,2010,Douglas County
8047,Gilpin County,Households,2530.0,2010,Gilpin County
8059,Jefferson County,Households,217018.0,2010,Jefferson County
8070,Bow Mar,Households,327.0,2010,Bow Mar
8123,Weld County,Households,86776.0,2010,Weld County
8675,Brighton,Households,10145.0,2010,Brighton
12390,Castle Pines North,Households,3151.0,2010,Castle Pines North
12415,Castle Rock,Households,15675.0,2010,Castle Rock
12815,Centennial,Households,37506.0,2010,Centennial
12910,Central City,Households,285.0,2010,Central City
13845,Cherry Hills Village,Households,1997.0,2010,Cherry Hills Village
16385,Columbine Valley,Households,514.0,2010,Columbine Valley
16495,Commerce City,Households,13421.0,2010,Commerce City
19080,Dacono,Households,1467.0,2010,Dacono
19630,Deer Trail,Households,172.0,2010,Deer Trail
23135,Edgewater,Households,2323.0,2010,Edgewater
23740,Elizabeth,Households,479.0,2010,Elizabeth
24620,Empire,Households,132.0,2010,Empire
24785,Englewood,Households,14469.0,2010,Englewood
24950,Erie,Households,5607.0,2010,Erie
26270,Federal Heights,Households,4841.0,2010,Federal Heights
26600,Firestone,Households,2789.0,2010,Firestone
27700,Fort Lupton,Households,2443.0,2010,Fort Lupton
28105,Foxfield,Households,256.0,2010,Foxfield
28360,Frederick,Households,2654.0,2010,Frederick
29735,Georgetown,Households,556.0,2010,Georgetown
30340,Glendale,Households,2410.0,2010,Glendale
30835,Golden,Households,8244.0,2010,Golden
33035,Greenwood Village,Households,5385.0,2010,Greenwood Village
37820,Hudson,Households,607.0,2010,Hudson
38370,Idaho Springs,Households,956.0,2010,Idaho Springs
39195,Jamestown,Households,124.0,2010,Jamestown
40185,Keenesburg,Households,384.0,2010,Keenesburg
40790,Kiowa,Households,236.0,2010,Kiowa
41835,Lafayette,Households,9688.0,2010,Lafayette
42495,Lakeside,Households,10.0,2010,Lakeside
43000,Lakewood,Households,61453.0,2010,Lakewood
43550,Larkspur,Households,65.0,2010,Larkspur
45255,Littleton,Households,17878.0,2010,Littleton
45955,Lone Tree,Households,3786.0,2010,Lone Tree
45970,Longmont,Households,32116.0,2010,Longmont
46355,Louisville,Households,7529.0,2010,Louisville
47070,Lyons,Households,727.0,2010,Lyons
49600,Mead,Households,1083.0,2010,Mead
52075,Morrison,Households,98.0,2010,Morrison
52350,Mountain View,Households,280.0,2010,Mountain View
53175,Nederland,Households,598.0,2010,Nederland
54330,Northglenn,Households,12629.0,2010,Northglenn
57630,Parker,Households,15396.0,2010,Parker
60160,Platteville,Households,935.0,2010,Platteville
69645,Sheridan,Households,2293.0,2010,Sheridan
70360,Silver Plume,Households,75.0,2010,Silver Plume
75640,Superior,Households,4352.0,2010,Superior
77290,Thornton,Households,38574.0,2010,Thornton
82735,Ward,Households,27.0,2010,Ward
83835,Westminster,Households,40625.0,2010,Westminster
84440,Wheat Ridge,Households,14324.0,2010,Wheat Ridge
8124,Weld County (DRCOG),Households,19075.0,2010,Weld County (DRCOG)
8000,Region,Households,1100298.0,2010,Region
3455,Arvada,Average Household Size,2.49,2010,Arvada
4000,Aurora,Average Household Size,2.58,2010,Aurora
6090,Bennett,Average Household Size,2.75,2010,Bennett
7025,Black Hawk,Average Household Size,2.04,2010,Black Hawk
7850,Boulder City,Average Household Size,2.12,2010,Boulder City
8001,Adams County,Average Household Size,2.85,2010,Adams County
8005,Arapahoe County,Average Household Size,2.5,2010,Arapahoe County
8013,Boulder County,Average Household Size,2.37,2010,Boulder County
8014,Broomfield City/County,Average Household Size,2.63,2010,Broomfield City/County
8019,Clear Creek County,Average Household Size,2.18,2010,Clear Creek County
8031,Denver City/County,Average Household Size,2.23,2010,Denver City/County
8035,Douglas County,Average Household Size,2.76,2010,Douglas County
8047,Gilpin County,Average Household Size,2.02,2010,Gilpin County
8059,Jefferson County,Average Household Size,2.41,2010,Jefferson County
8070,Bow Mar,Average Household Size,2.94,2010,Bow Mar
8123,Weld County,Average Household Size,2.74,2010,Weld County
8675,Brighton,Average Household Size,2.93,2010,Brighton
12390,Castle Pines North,Average Household Size,2.99,2010,Castle Pines North
12415,Castle Rock,Average Household Size,2.79,2010,Castle Rock
12815,Centennial,Average Household Size,2.66,2010,Centennial
12910,Central City,Average Household Size,1.82,2010,Central City
13845,Cherry Hills Village,Average Household Size,2.97,2010,Cherry Hills Village
16385,Columbine Valley,Average Household Size,2.48,2010,Columbine Valley
16495,Commerce City,Average Household Size,3.07,2010,Commerce City
19080,Dacono,Average Household Size,2.75,2010,Dacono
19630,Deer Trail,Average Household Size,2.12,2010,Deer Trail
23135,Edgewater,Average Household Size,2.23,2010,Edgewater
23740,Elizabeth,Average Household Size,2.97,2010,Elizabeth
24620,Empire,Average Household Size,2.57,2010,Empire
24785,Englewood,Average Household Size,2.07,2010,Englewood
24950,Erie,Average Household Size,2.88,2010,Erie
26270,Federal Heights,Average Household Size,2.39,2010,Federal Heights
26600,Firestone,Average Household Size,3.18,2010,Firestone
27700,Fort Lupton,Average Household Size,3.04,2010,Fort Lupton
28105,Foxfield,Average Household Size,3.34,2010,Foxfield
28360,Frederick,Average Household Size,2.91,2010,Frederick
29735,Georgetown,Average Household Size,2.31,2010,Georgetown
30340,Glendale,Average Household Size,1.73,2010,Glendale
30835,Golden,Average Household Size,2.11,2010,Golden
33035,Greenwood Village,Average Household Size,2.47,2010,Greenwood Village
37820,Hudson,Average Household Size,2.63,2010,Hudson
38370,Idaho Springs,Average Household Size,2.11,2010,Idaho Springs
39195,Jamestown,Average Household Size,2.24,2010,Jamestown
40185,Keenesburg,Average Household Size,2.97,2010,Keenesburg
40790,Kiowa,Average Household Size,2.66,2010,Kiowa
41835,Lafayette,Average Household Size,2.5,2010,Lafayette
42495,Lakeside,Average Household Size,1.9,2010,Lakeside
43000,Lakewood,Average Household Size,2.24,2010,Lakewood
43550,Larkspur,Average Household Size,2.66,2010,Larkspur
45255,Littleton,Average Household Size,2.26,2010,Littleton
45955,Lone Tree,Average Household Size,2.61,2010,Lone Tree
45970,Longmont,Average Household Size,2.58,2010,Longmont
46355,Louisville,Average Household Size,2.41,2010,Louisville
47070,Lyons,Average Household Size,2.15,2010,Lyons
49600,Mead,Average Household Size,2.99,2010,Mead
52075,Morrison,Average Household Size,2.09,2010,Morrison
52350,Mountain View,Average Household Size,2.12,2010,Mountain View
53175,Nederland,Average Household Size,2.23,2010,Nederland
54330,Northglenn,Average Household Size,2.75,2010,Northglenn
57630,Parker,Average Household Size,2.76,2010,Parker
60160,Platteville,Average Household Size,2.7,2010,Platteville
69645,Sheridan,Average Household Size,2.45,2010,Sheridan
70360,Silver Plume,Average Household Size,2.16,2010,Silver Plume
75640,Superior,Average Household Size,2.72,2010,Superior
77290,Thornton,Average Household Size,2.9,2010,Thornton
82735,Ward,Average Household Size,2.48,2010,Ward
83835,Westminster,Average Household Size,2.57,2010,Westminster
84440,Wheat Ridge,Average Household Size,2.08,2010,Wheat Ridge
8124,Weld County (DRCOG),Average Household Size,2.839802359108781,2010,Weld County (DRCOG)
8000,Region,Average Household Size,2.482322080018322,2010,Region
3455,Arvada,Median Age,40.1,2010,Arvada
4000,Aurora,Median Age,33.0,2010,Aurora
6090,Bennett,Median Age,34.9,2010,Bennett
7025,Black Hawk,Median Age,54.6,2010,Black Hawk
7850,Boulder City,Median Age,28.8,2010,Boulder City
8001,Adams County,Median Age,32.2,2010,Adams County
8005,Arapahoe County,Median Age,35.5,2010,Arapahoe County
8013,Boulder County,Median Age,35.3,2010,Boulder County
8014,Broomfield City/County,Median Age,36.7,2010,Broomfield City/County
8019,Clear Creek County,Median Age,44.7,2010,Clear Creek County
8031,Denver City/County,Median Age,33.8,2010,Denver City/County
8035,Douglas County,Median Age,35.8,2010,Douglas County
8047,Gilpin County,Median Age,43.8,2010,Gilpin County
8059,Jefferson County,Median Age,39.7,2010,Jefferson County
8070,Bow Mar,Median Age,44.9,2010,Bow Mar
8123,Weld County,Median Age,32.7,2010,Weld County
8675,Brighton,Median Age,32.4,2010,Brighton
12390,Castle Pines North,Median Age,37.1,2010,Castle Pines North
12415,Castle Rock,Median Age,33.7,2010,Castle Rock
12815,Centennial,Median Age,40.9,2010,Centennial
12910,Central City,Median Age,34.9,2010,Central City
13845,Cherry Hills Village,Median Age,46.1,2010,Cherry Hills Village
16385,Columbine Valley,Median Age,53.4,2010,Columbine Valley
16495,Commerce City,Median Age,29.8,2010,Commerce City
19080,Dacono,Median Age,31.9,2010,Dacono
19630,Deer Trail,Median Age,48.3,2010,Deer Trail
23135,Edgewater,Median Age,32.1,2010,Edgewater
23740,Elizabeth,Median Age,28.4,2010,Elizabeth
24620,Empire,Median Age,48.6,2010,Empire
24785,Englewood,Median Age,36.5,2010,Englewood
24950,Erie,Median Age,36.3,2010,Erie
26270,Federal Heights,Median Age,33.5,2010,Federal Heights
26600,Firestone,Median Age,30.6,2010,Firestone
27700,Fort Lupton,Median Age,29.9,2010,Fort Lupton
28105,Foxfield,Median Age,38.8,2010,Foxfield
28360,Frederick,Median Age,33.4,2010,Frederick
29735,Georgetown,Median Age,36.8,2010,Georgetown
30340,Glendale,Median Age,30.3,2010,Glendale
30835,Golden,Median Age,34.6,2010,Golden
33035,Greenwood Village,Median Age,45.4,2010,Greenwood Village
37820,Hudson,Median Age,34.0,2010,Hudson
38370,Idaho Springs,Median Age,38.8,2010,Idaho Springs
39195,Jamestown,Median Age,40.7,2010,Jamestown
40185,Keenesburg,Median Age,33.8,2010,Keenesburg
40790,Kiowa,Median Age,37.4,2010,Kiowa
41835,Lafayette,Median Age,37.0,2010,Lafayette
42495,Lakeside,Median Age,26.1,2010,Lakeside
43000,Lakewood,Median Age,38.7,2010,Lakewood
43550,Larkspur,Median Age,41.0,2010,Larkspur
45255,Littleton,Median Age,40.8,2010,Littleton
45955,Lone Tree,Median Age,39.8,2010,Lone Tree
45970,Longmont,Median Age,34.7,2010,Longmont
46355,Louisville,Median Age,38.9,2010,Louisville
47070,Lyons,Median Age,42.8,2010,Lyons
49600,Mead,Median Age,36.8,2010,Mead
52075,Morrison,Median Age,61.8,2010,Morrison
52350,Mountain View,Median Age,37.0,2010,Mountain View
53175,Nederland,Median Age,36.4,2010,Nederland
54330,Northglenn,Median Age,31.9,2010,Northglenn
57630,Parker,Median Age,32.3,2010,Parker
60160,Platteville,Median Age,30.9,2010,Platteville
69645,Sheridan,Median Age,32.6,2010,Sheridan
70360,Silver Plume,Median Age,31.4,2010,Silver Plume
75640,Superior,Median Age,31.7,2010,Superior
77290,Thornton,Median Age,31.7,2010,Thornton
82735,Ward,Median Age,43.4,2010,Ward
83835,Westminster,Median Age,34.6,2010,Westminster
84440,Wheat Ridge,Median Age,43.1,2010,Wheat Ridge
8124,Weld County (DRCOG),Median Age,35.701536132343705,2010,Weld County (DRCOG)
8000,Region,Median Age,35.523428534798526,2010,Region
3455,Arvada,Median Household Income,65942.0,2010,Arvada
4000,Aurora,Median Household Income,49515.0,2010,Aurora
6090,Bennett,Median Household Income,60523.0,2010,Bennett
7025,Black Hawk,Median Household Income,65938.0,2010,Black Hawk
7850,Boulder City,Median Household Income,51779.0,2010,Boulder City
8001,Adams County,Median Household Income,54666.0,2010,Adams County
8005,Arapahoe County,Median Household Income,58719.0,2010,Arapahoe County
8013,Boulder County,Median Household Income,64839.0,2010,Boulder County
8014,Broomfield City/County,Median Household Income,75590.0,2010,Broomfield City/County
8019,Clear Creek County,Median Household Income,60426.0,2010,Clear Creek County
8031,Denver City/County,Median Household Income,45501.0,2010,Denver City/County
8035,Douglas County,Median Household Income,99198.0,2010,Douglas County
8047,Gilpin County,Median Household Income,58036.0,2010,Gilpin County
8059,Jefferson County,Median Household Income,66075.0,2010,Jefferson County
8070,Bow Mar,Median Household Income,172031.0,2010,Bow Mar
8123,Weld County,Median Household Income,55596.0,2010,Weld County
8675,Brighton,Median Household Income,65788.0,2010,Brighton
12390,Castle Pines North,Median Household Income,137019.0,2010,Castle Pines North
12415,Castle Rock,Median Household Income,85461.0,2010,Castle Rock
12815,Centennial,Median Household Income,87007.0,2010,Centennial
12910,Central City,Median Household Income,29018.0,2010,Central City
13845,Cherry Hills Village,Median Household Income,219620.0,2010,Cherry Hills Village
16385,Columbine Valley,Median Household Income,130000.0,2010,Columbine Valley
16495,Commerce City,Median Household Income,56635.0,2010,Commerce City
19080,Dacono,Median Household Income,51146.0,2010,Dacono
19630,Deer Trail,Median Household Income,47500.0,2010,Deer Trail
23135,Edgewater,Median Household Income,43082.0,2010,Edgewater
23740,Elizabeth,Median Household Income,60469.0,2010,Elizabeth
24620,Empire,Median Household Income,50500.0,2010,Empire
24785,Englewood,Median Household Income,42416.0,2010,Englewood
24950,Erie,Median Household Income,100288.0,2010,Erie
26270,Federal Heights,Median Household Income,32197.0,2010,Federal Heights
26600,Firestone,Median Household Income,81970.0,2010,Firestone
27700,Fort Lupton,Median Household Income,51289.0,2010,Fort Lupton
28105,Foxfield,Median Household Income,110385.0,2010,Foxfield
28360,Frederick,Median Household Income,76044.0,2010,Frederick
29735,Georgetown,Median Household Income,61694.0,2010,Georgetown
30340,Glendale,Median Household Income,33707.0,2010,Glendale
30835,Golden,Median Household Income,53896.0,2010,Golden
33035,Greenwood Village,Median Household Income,112009.0,2010,Greenwood Village
37820,Hudson,Median Household Income,53242.0,2010,Hudson
38370,Idaho Springs,Median Household Income,39253.0,2010,Idaho Springs
39195,Jamestown,Median Household Income,60833.0,2010,Jamestown
40185,Keenesburg,Median Household Income,54583.0,2010,Keenesburg
40790,Kiowa,Median Household Income,41167.0,2010,Kiowa
41835,Lafayette,Median Household Income,67560.0,2010,Lafayette
42495,Lakeside,Median Household Income,78611.0,2010,Lakeside
43000,Lakewood,Median Household Income,52960.0,2010,Lakewood
43550,Larkspur,Median Household Income,57250.0,2010,Larkspur
45255,Littleton,Median Household Income,54512.0,2010,Littleton
45955,Lone Tree,Median Household Income,108190.0,2010,Lone Tree
45970,Longmont,Median Household Income,56025.0,2010,Longmont
46355,Louisville,Median Household Income,81015.0,2010,Louisville
47070,Lyons,Median Household Income,71250.0,2010,Lyons
49600,Mead,Median Household Income,87694.0,2010,Mead
52075,Morrison,Median Household Income,73750.0,2010,Morrison
52350,Mountain View,Median Household Income,41429.0,2010,Mountain View
53175,Nederland,Median Household Income,67375.0,2010,Nederland
54330,Northglenn,Median Household Income,52093.0,2010,Northglenn
57630,Parker,Median Household Income,88644.0,2010,Parker
60160,Platteville,Median Household Income,55750.0,2010,Platteville
69645,Sheridan,Median Household Income,32382.0,2010,Sheridan
70360,Silver Plume,Median Household Income,40469.0,2010,Silver Plume
75640,Superior,Median Household Income,96130.0,2010,Superior
77290,Thornton,Median Household Income,65578.0,2010,Thornton
82735,Ward,Median Household Income,52083.0,2010,Ward
83835,Westminster,Median Household Income,61936.0,2010,Westminster
84440,Wheat Ridge,Median Household Income,47014.0,2010,Wheat Ridge
8124,Weld County (DRCOG),Median Household Income,75462.59690694626,2010,Weld County (DRCOG)
8000,Region,Median Household Income,61461.252014454265,2010,Region
3455,Arvada,High School Diploma or More,92.1842005901355,2010,Arvada
4000,Aurora,High School Diploma or More,84.65727794493186,2010,Aurora
6090,Bennett,High School Diploma or More,92.41329479768787,2010,Bennett
7025,Black Hawk,High School Diploma or More,100.0,2010,Black Hawk
7850,Boulder City,High School Diploma or More,95.54188391938946,2010,Boulder City
8001,Adams County,High School Diploma or More,80.95323058233998,2010,Adams County
8005,Arapahoe County,High School Diploma or More,90.42316935900946,2010,Arapahoe County
8013,Boulder County,High School Diploma or More,93.71178331035601,2010,Boulder County
8014,Broomfield City/County,High School Diploma or More,95.34473790672138,2010,Broomfield City/County
8019,Clear Creek County,High School Diploma or More,96.88901750832007,2010,Clear Creek County
8031,Denver City/County,High School Diploma or More,83.958232163878,2010,Denver City/County
8035,Douglas County,High School Diploma or More,97.59994047073909,2010,Douglas County
8047,Gilpin County,High School Diploma or More,94.81903817550818,2010,Gilpin County
8059,Jefferson County,High School Diploma or More,92.87532648777757,2010,Jefferson County
8070,Bow Mar,High School Diploma or More,99.52456418383518,2010,Bow Mar
8123,Weld County,High School Diploma or More,84.70055733828745,2010,Weld County
8675,Brighton,High School Diploma or More,83.30224847166097,2010,Brighton
12390,Castle Pines North,High School Diploma or More,99.2902890773758,2010,Castle Pines North
12415,Castle Rock,High School Diploma or More,95.99567879006122,2010,Castle Rock
12815,Centennial,High School Diploma or More,96.90038319844945,2010,Centennial
12910,Central City,High School Diploma or More,95.56135770234987,2010,Central City
13845,Cherry Hills Village,High School Diploma or More,99.48691636736788,2010,Cherry Hills Village
16385,Columbine Valley,High School Diploma or More,99.79274611398964,2010,Columbine Valley
16495,Commerce City,High School Diploma or More,75.29976019184652,2010,Commerce City
19080,Dacono,High School Diploma or More,80.88353413654619,2010,Dacono
19630,Deer Trail,High School Diploma or More,86.79245283018868,2010,Deer Trail
23135,Edgewater,High School Diploma or More,75.35359614805898,2010,Edgewater
23740,Elizabeth,High School Diploma or More,94.16767922235724,2010,Elizabeth
24620,Empire,High School Diploma or More,97.71689497716895,2010,Empire
24785,Englewood,High School Diploma or More,86.6400890042648,2010,Englewood
24950,Erie,High School Diploma or More,97.41941673062165,2010,Erie
26270,Federal Heights,High School Diploma or More,66.67133258678611,2010,Federal Heights
26600,Firestone,High School Diploma or More,92.2417079679756,2010,Firestone
27700,Fort Lupton,High School Diploma or More,73.36868803320267,2010,Fort Lupton
28105,Foxfield,High School Diploma or More,98.01192842942346,2010,Foxfield
28360,Frederick,High School Diploma or More,91.0620186461289,2010,Frederick
29735,Georgetown,High School Diploma or More,96.56283566058002,2010,Georgetown
30340,Glendale,High School Diploma or More,83.86873920552677,2010,Glendale
30835,Golden,High School Diploma or More,96.00407228302367,2010,Golden
33035,Greenwood Village,High School Diploma or More,98.03983228511531,2010,Greenwood Village
37820,Hudson,High School Diploma or More,88.88888888888889,2010,Hudson
38370,Idaho Springs,High School Diploma or More,94.12171507607192,2010,Idaho Springs
39195,Jamestown,High School Diploma or More,100.0,2010,Jamestown
40185,Keenesburg,High School Diploma or More,84.29629629629629,2010,Keenesburg
40790,Kiowa,High School Diploma or More,90.28132992327366,2010,Kiowa
41835,Lafayette,High School Diploma or More,91.20229126455389,2010,Lafayette
42495,Lakeside,High School Diploma or More,100.0,2010,Lakeside
43000,Lakewood,High School Diploma or More,89.81662827395148,2010,Lakewood
43550,Larkspur,High School Diploma or More,85.98130841121495,2010,Larkspur
45255,Littleton,High School Diploma or More,93.10525397102461,2010,Littleton
45955,Lone Tree,High School Diploma or More,99.27222050170332,2010,Lone Tree
45970,Longmont,High School Diploma or More,88.07619331076305,2010,Longmont
46355,Louisville,High School Diploma or More,97.968,2010,Louisville
47070,Lyons,High School Diploma or More,96.83490162532078,2010,Lyons
49600,Mead,High School Diploma or More,90.74513526340769,2010,Mead
52075,Morrison,High School Diploma or More,85.65891472868218,2010,Morrison
52350,Mountain View,High School Diploma or More,78.84130982367758,2010,Mountain View
